Регион,Количество человек,Коэффициент небольшой тяжести,Коэффициент средней тяжести,Коэффициент тяжких,Коэффициент особо тяжких преступлений
Алтайский край,2324983,0.00112,0.00168,0.00076,0.00014
Амурская область,791619,0.00129,0.00269,0.00126,0.00014
Архангельская область,1140327,0.00115,0.00150,0.00080,0.00014
Астраханская область,1009924,0.00092,0.00150,0.00056,0.00014
Белгородская область,1548284,0.00064,0.00084,0.00042,0.00008
Брянская область,1196339,0.00087,0.00161,0.00036,0.00012
Владимирская область,1362110,0.00078,0.00140,0.00060,0.00012
Волгоградская область,2499272,0.00087,0.00206,0.00068,0.00008
Вологодская область,1164079,0.00110,0.00150,0.00056,0.00010
Воронежская область,2326013,0.00064,0.00168,0.00062,0.00010
г. Москва,12646679,0.00060,0.00119,0.00074,0.00012
г. Санкт-Петербург,5390977,0.00051,0.00129,0.00066,0.00020
г. Севастополь,446174,0.00081,0.00175,0.00046,0.00018
Еврейская АО,159109,0.00130,0.00280,0.00118,0.00014
Забайкальский край,1062742,0.00135,0.00277,0.00076,0.00012
Ивановская область,1000657,0.00108,0.00101,0.00060,0.00016
Иркутская область,2394478,0.00101,0.00206,0.00090,0.00012
Кабардино-Балкарская Респ.,867284,0.00049,0.00094,0.00040,0.00010
Калининградская область,1007349,0.00080,0.00168,0.00054,0.00014
Калужская область,1005978,0.00103,0.00189,0.00072,0.00024
Камчатский край,313868,0.00159,0.00129,0.00068,0.00020
Карачаево-Черкесская Респ.,465546,0.00066,0.00098,0.00036,0.00022
Кемеровская область-Кузбасс,2666055,0.00129,0.00210,0.00078,0.00018
Кировская область,1267255,0.00101,0.00133,0.00076,0.00012
Костромская область,635325,0.00097,0.00108,0.00080,0.00014
Краснодарский край,5661848,0.00067,0.00199,0.00048,0.00008
Красноярский край,2870140,0.00092,0.00210,0.00078,0.00018
Курганская область,830933,0.00141,0.00157,0.00066,0.00034
Курская область,1105524,0.00082,0.00136,0.00052,0.00010
Ленинградская область,1861869,0.00061,0.00182,0.00096,0.00012
Липецкая область,1141703,0.00081,0.00108,0.00048,0.00014
Магаданская область,140691,0.00103,0.00203,0.00098,0.00026
Московская область,7645255,0.00061,0.00098,0.00042,0.00014
Мурманская область,744729,0.00121,0.00126,0.00080,0.00014
Нижегородская область,3208785,0.00084,0.00136,0.00054,0.00018
Новгородская область,598401,0.00102,0.00217,0.00090,0.00028
Новосибирская область,2795777,0.00108,0.00259,0.00082,0.00012
Омская область,1935430,0.00090,0.00098,0.00064,0.00014
Оренбургская область,1959921,0.00094,0.00133,0.00058,0.00022
Орловская область,736483,0.00072,0.00150,0.00042,0.00010
Пензенская область,1311833,0.00082,0.00067,0.00050,0.00010
Пермский край,2605030,0.00110,0.00133,0.00062,0.00020
Приморский край,1899293,0.00094,0.00210,0.00078,0.00016
Псковская область,627882,0.00094,0.00101,0.00064,0.00040
Республика Адыгея,458915,0.00049,0.00122,0.00036,0.00008
Республика Алтай,219524,0.00159,0.00238,0.00076,0.00010
Республика Башкортостан,4044578,0.00088,0.00144,0.00058,0.00016
Республика Бурятия,984604,0.00123,0.00262,0.00096,0.00010
Республика Дагестан,3098492,0.00031,0.00045,0.00018,0.00006
Республика Ингушетия,502226,0.00021,0.00042,0.00016,0.00006
Республика Калмыкия,271891,0.00082,0.00080,0.00048,0.00006
Республика Карелия,616059,0.00153,0.00238,0.00080,0.00018
Республика Коми,825353,0.00139,0.00203,0.00096,0.00016
Республика Крым,1912220,0.00075,0.00133,0.00042,0.00010
Республика Марий Эл,679899,0.00061,0.00122,0.00060,0.00010
Республика Мордовия,792850,0.00077,0.00084,0.00044,0.00014
Республика Саха (Якутия),969502,0.00085,0.00133,0.00050,0.00012
Республика Сев. Осетия-Алания,698044,0.00078,0.00119,0.00046,0.00012
Республика Татарстан,3900758,0.00078,0.00161,0.00064,0.00018
Республика Тыва,325902,0.00158,0.00343,0.00100,0.00018
Республика Хакасия,535215,0.00141,0.00217,0.00070,0.00024
Ростовская область,4200071,0.00073,0.00217,0.00058,0.00014
Рязанская область,1111492,0.00054,0.00112,0.00034,0.00012
Самарская область,3181285,0.00097,0.00136,0.00052,0.00020
Саратовская область,2431355,0.00081,0.00136,0.00054,0.00012
Сахалинская область,488947,0.00123,0.00203,0.00074,0.00012
Свердловская область,4313190,0.00101,0.00133,0.00042,0.00020
Смоленская область,938625,0.00096,0.00164,0.00078,0.00016
Ставропольский край,2799408,0.00067,0.00147,0.00064,0.00014
Тамбовская область,1011357,0.00102,0.00115,0.00044,0.00014
Тверская область,1265007,0.00099,0.00214,0.00080,0.00010
Томская область,1078355,0.00111,0.00168,0.00066,0.00014
Тульская область,1472472,0.00060,0.00077,0.00042,0.00010
Тюменская область,3740252,0.00048,0.00056,0.00028,0.00008
Удмуртская Республика,1504172,0.00137,0.00150,0.00088,0.00018
Ульяновская область,1234120,0.00084,0.00067,0.00042,0.00012
Хабаровский край,1318557,0.00093,0.00245,0.00066,0.00014
Ханты-Мансийский АО,1669236,0.00081,0.00115,0.00062,0.00016
Челябинская область,3471061,0.00120,0.00206,0.00060,0.00026
Чеченская Республика,1467838,0.00016,0.00014,0.00010,0.00002
Чувашская Республика,1220605,0.00064,0.00094,0.00056,0.00018
Чукотский АО,49975,0.00117,0.00144,0.00066,0.00010
Ямало-Ненецкий АО,542961,0.00103,0.00112,0.00064,0.00016
Ярославская область,1256501,0.00081,0.00144,0.00054,0.00012
