Регион,Количество человек,Преступлений небольшой тяжести,Преступлений средней тяжести,Тяжких преступлений,Особо тяжких преступлений
Алтайский край,2324983,0.0075,0.0048,0.0038,0.0007
Амурская область,791619,0.0086,0.0077,0.0063,0.0007
Архангельская область,1140327,0.0077,0.0043,0.004,0.0007
Астраханская область,1009924,0.0061,0.0043,0.0028,0.0007
Белгородская область,1548284,0.0043,0.0024,0.0021,0.0004
Брянская область,1196339,0.0058,0.0046,0.0018,0.0006
Владимирская область,1362110,0.0052,0.004,0.003,0.0006
Волгоградская область,2499272,0.0058,0.0059,0.0034,0.0004
Вологодская область,1164079,0.0073,0.0043,0.0028,0.0005
Воронежская область,2326013,0.0043,0.0048,0.0031,0.0005
г. Москва,12646679,0.004,0.0034,0.0037,0.0006
г. Санкт-Петербург,5390977,0.0034,0.0037,0.0033,0.001
г. Севастополь,446174,0.0054,0.005,0.0023,0.0009
Еврейская АО,159109,0.0087,0.008,0.0059,0.0007
Забайкальский край,1062742,0.009,0.0079,0.0038,0.0006
Ивановская область,1000657,0.0072,0.0029,0.003,0.0008
Иркутская область,2394478,0.0067,0.0059,0.0045,0.0006
Кабардино-Балкарская Респ.,867284,0.0033,0.0027,0.002,0.0005
Калининградская область,1007349,0.0053,0.0048,0.0027,0.0007
Калужская область,1005978,0.0069,0.0054,0.0036,0.0012
Камчатский край,313868,0.0106,0.0037,0.0034,0.001
Карачаево-Черкесская Респ.,465546,0.0044,0.0028,0.0018,0.0011
Кемеровская область-Кузбасс,2666055,0.0086,0.006,0.0039,0.0009
Кировская область,1267255,0.0067,0.0038,0.0038,0.0006
Костромская область,635325,0.0065,0.0031,0.004,0.0007
Краснодарский край,5661848,0.0045,0.0057,0.0024,0.0004
Красноярский край,2870140,0.0061,0.006,0.0039,0.0009
Курганская область,830933,0.0094,0.0045,0.0033,0.0017
Курская область,1105524,0.0055,0.0039,0.0026,0.0005
Ленинградская область,1861869,0.0041,0.0052,0.0048,0.0006
Липецкая область,1141703,0.0054,0.0031,0.0024,0.0007
Магаданская область,140691,0.0069,0.0058,0.0049,0.0013
Московская область,7645255,0.0041,0.0028,0.0021,0.0007
Мурманская область,744729,0.0081,0.0036,0.004,0.0007
Нижегородская область,3208785,0.0056,0.0039,0.0027,0.0009
Новгородская область,598401,0.0068,0.0062,0.0045,0.0014
Новосибирская область,2795777,0.0072,0.0074,0.0041,0.0006
Омская область,1935430,0.006,0.0028,0.0032,0.0007
Оренбургская область,1959921,0.0063,0.0038,0.0029,0.0011
Орловская область,736483,0.0048,0.0043,0.0021,0.0005
Пензенская область,1311833,0.0055,0.0019,0.0025,0.0005
Пермский край,2605030,0.0073,0.0038,0.0031,0.001
Приморский край,1899293,0.0063,0.006,0.0039,0.0008
Псковская область,627882,0.0063,0.0029,0.0032,0.002
Республика Адыгея,458915,0.0033,0.0035,0.0018,0.0004
Республика Алтай,219524,0.0106,0.0068,0.0038,0.0005
Республика Башкортостан,4044578,0.0059,0.0041,0.0029,0.0008
Республика Бурятия,984604,0.0082,0.0075,0.0048,0.0005
Республика Дагестан,3098492,0.0021,0.0013,0.0009,0.0003
Республика Ингушетия,502226,0.0014,0.0012,0.0008,0.0003
Республика Калмыкия,271891,0.0055,0.0023,0.0024,0.0003
Республика Карелия,616059,0.0102,0.0068,0.004,0.0009
Республика Коми,825353,0.0093,0.0058,0.0048,0.0008
Республика Крым,1912220,0.005,0.0038,0.0021,0.0005
Республика Марий Эл,679899,0.0041,0.0035,0.003,0.0005
Республика Мордовия,792850,0.0051,0.0024,0.0022,0.0007
Республика Саха (Якутия),969502,0.0057,0.0038,0.0025,0.0006
Республика Сев. Осетия-Алания,698044,0.0052,0.0034,0.0023,0.0006
Республика Татарстан,3900758,0.0052,0.0046,0.0032,0.0009
Республика Тыва,325902,0.0105,0.0098,0.005,0.0009
Республика Хакасия,535215,0.0094,0.0062,0.0035,0.0012
Ростовская область,4200071,0.0049,0.0062,0.0029,0.0007
Рязанская область,1111492,0.0036,0.0032,0.0017,0.0006
Самарская область,3181285,0.0065,0.0039,0.0026,0.001
Саратовская область,2431355,0.0054,0.0039,0.0027,0.0006
Сахалинская область,488947,0.0082,0.0058,0.0037,0.0006
Свердловская область,4313190,0.0067,0.0038,0.0021,0.001
Смоленская область,938625,0.0064,0.0047,0.0039,0.0008
Ставропольский край,2799408,0.0045,0.0042,0.0032,0.0007
Тамбовская область,1011357,0.0068,0.0033,0.0022,0.0007
Тверская область,1265007,0.0066,0.0061,0.004,0.0005
Томская область,1078355,0.0074,0.0048,0.0033,0.0007
Тульская область,1472472,0.004,0.0022,0.0021,0.0005
Тюменская область,3740252,0.0032,0.0016,0.0014,0.0004
Удмуртская Республика,1504172,0.0091,0.0043,0.0044,0.0009
Ульяновская область,1234120,0.0056,0.0019,0.0021,0.0006
Хабаровский край,1318557,0.0062,0.007,0.0033,0.0007
Ханты-Мансийский АО,1669236,0.0054,0.0033,0.0031,0.0008
Челябинская область,3471061,0.008,0.0059,0.003,0.0013
Чеченская Республика,1467838,0.0011,0.0004,0.0005,0.0001
Чувашская Республика,1220605,0.0043,0.0027,0.0028,0.0009
Чукотский АО,49975,0.0078,0.0041,0.0033,0.0005
Ямало-Ненецкий АО,542961,0.0069,0.0032,0.0032,0.0008
Ярославская область,1256501,0.0054,0.0041,0.0027,0.0006
