,Unnamed: 0,Unnamed: 1,"2019 г., 23110000100040200001 Численность постоянного населения в среднем за год"
68,Алтайский край,01000000000,2324983.0
79,Амурская область,10000000000,791619.0
21,Архангельская область,11000000000,1140327.0
33,Астраханская область,12000000000,1009924.0
1,Белгородская область,14000000000,1548284.0
2,Брянская область,15000000000,1196339.0
3,Владимирская область,17000000000,1362110.0
34,Волгоградская область,18000000000,2499272.0
22,Вологодская область,19000000000,1164079.0
4,Воронежская область,20000000000,2326013.0
18,г. Москва,45000000000,12646679.0
28,г. Санкт-Петербург,40000000000,5390977.0
36,г. Севастополь,67000000000,446174.0
82,Еврейская АО,99000000000,159109.0
69,Забайкальский край,76000000000,1062742.0
5,Ивановская область,24000000000,1000657.0
71,Иркутская область,25000000000,2394478.0
39,Кабардино-Балкарская Респ.,83000000000,867284.0
23,Калининградская область,27000000000,1007349.0
6,Калужская область,29000000000,1005978.0
76,Камчатский край,30000000000,313868.0
40,Карачаево-Черкесская Респ.,91000000000,465546.0
84,Кемеровская область-Кузбасс,32000000000,2666055.0
51,Кировская область,33000000000,1267255.0
7,Костромская область,34000000000,635325.0
32,Краснодарский край,03000000000,5661848.0
70,Красноярский край,04000000000,2870140.0
58,Курганская область,37000000000,830933.0
8,Курская область,38000000000,1105524.0
24,Ленинградская область,41000000000,1861869.0
9,Липецкая область,42000000000,1141703.0
80,Магаданская область,44000000000,140691.0
10,Московская область,46000000000,7645255.0
25,Мурманская область,47000000000,744729.0
52,Нижегородская область,22000000000,3208785.0
26,Новгородская область,49000000000,598401.0
72,Новосибирская область,50000000000,2795777.0
73,Омская область,52000000000,1935430.0
53,Оренбургская область,53000000000,1959921.0
11,Орловская область,54000000000,736483.0
54,Пензенская область,56000000000,1311833.0
50,Пермский край,57000000000,2605030.0
77,Приморский край,05000000000,1899293.0
27,Псковская область,58000000000,627882.0
29,Республика Адыгея,79000000000,458915.0
64,Республика Алтай,84000000000,219524.0
44,Республика Башкортостан,80000000000,4044578.0
65,Республика Бурятия,81000000000,984604.0
37,Республика Дагестан,82000000000,3098492.0
38,Республика Ингушетия,26000000000,502226.0
30,Республика Калмыкия,85000000000,271891.0
19,Республика Карелия,86000000000,616059.0
20,Республика Коми,87000000000,825353.0
31,Республика Крым,35000000000,1912220.0
45,Республика Марий Эл,88000000000,679899.0
46,Республика Мордовия,89000000000,792850.0
75,Республика Саха (Якутия),98000000000,969502.0
41,Республика Сев. Осетия-Алания,90000000000,698044.0
47,Республика Татарстан,92000000000,3900758.0
66,Республика Тыва,93000000000,325902.0
67,Республика Хакасия,95000000000,535215.0
35,Ростовская область,60000000000,4200071.0
12,Рязанская область,61000000000,1111492.0
55,Самарская область,36000000000,3181285.0
56,Саратовская область,63000000000,2431355.0
81,Сахалинская область,64000000000,488947.0
59,Свердловская область,65000000000,4313190.0
13,Смоленская область,66000000000,938625.0
43,Ставропольский край,07000000000,2799408.0
14,Тамбовская область,68000000000,1011357.0
15,Тверская область,28000000000,1265007.0
74,Томская область,69000000000,1078355.0
16,Тульская область,70000000000,1472472.0
60,Тюменская область,71000000000,3740252.0
48,Удмуртская Республика,94000000000,1504172.0
57,Ульяновская область,73000000000,1234120.0
78,Хабаровский край,08000000000,1318557.0
61,Ханты-Мансийский АО,71100000000,1669236.0
63,Челябинская область,75000000000,3471061.0
42,Чеченская Республика,96000000000,1467838.0
49,Чувашская Республика,97000000000,1220605.0
83,Чукотский АО,77000000000,49975.0
62,Ямало-Ненецкий АО,71140000000,542961.0
17,Ярославская область,78000000000,1256501.0
