субъект,количество сотрудников
Алтайский край,11936
Амурская область,5199
Архангельская область,6451
Архангельская область (кроме Ненецкого автономного округа),6095
Астраханская область,5116
Белгородская область,5849
Брянская область,6453
Владимирская область,6427
Волгоградская область,10322
Вологодская область,7075
Воронежская область,8718
Город Москва столица Российской Федерации город федерального значения,55547
Город Санкт-Петербург город федерального значения,26485
Город федерального значения Севастополь,1829
Еврейская автономная область,1129
Забайкальский край,6020
Ивановская область,4843
Иркутская область,11964
Кабардино-Балкарская Республика,4845
Калининградская область,4551
Калужская область,4546
Камчатский край,2680
Карачаево-Черкесская Республика,2833
Кемеровская область - Кузбасс,13246
Кировская область,6218
Костромская область,3843
Краснодарский край,26295
Красноярский край,15434
Курганская область,4867
Курская область,5711
Ленинградская область,141
Липецкая область,5125
Магаданская область,1825
Московская область,28183
Мурманская область,4603
Ненецкий автономный округ (Архангельская область),356
Нижегородская область,14361
Новгородская область,3974
Новосибирская область,11605
Омская область,9357
Оренбургская область,9092
Орловская область,4133
Пензенская область,5770
Пермский край,13777
Приморский край,12458
Псковская область,3745
Республика Адыгея (Адыгея),2405
Республика Алтай,1498
Республика Башкортостан,15014
Республика Бурятия,4418
Республика Дагестан,14335
Республика Ингушетия,3506
Республика Калмыкия,1958
Республика Карелия,4071
Республика Коми,5168
Республика Крым,7775
Республика Марий Эл,2966
Республика Мордовия,4201
Республика Саха (Якутия),5634
Республика Северная Осетия-Алания,6408
Республика Татарстан (Татарстан),15665
Республика Тыва,1929
Республика Хакасия,2757
Ростовская область,15876
Рязанская область,5203
Самарская область,14749
Саратовская область,11811
Сахалинская область,3690
Свердловская область,20447
Смоленская область,4381
Ставропольский край,13476
Тамбовская область,5631
Тверская область,5684
Томская область,5276
Тульская область,7119
Тюменская область,19520
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),7002
Удмуртская Республика,5969
Ульяновская область,4998
Хабаровский край,8546
Ханты-Мансийский автономный округ - Югра (Тюменская область),8815
Челябинская область,15664
Чеченская Республика,10983
Чувашская Республика - Чувашия,5106
Чукотский автономный округ,654
Ямало-Ненецкий автономный округ (Тюменская область),3703
Ярославская область,6800
